,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-15,4.0,5.0,-5.0,1.0,7.0,1.0
1,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-16,0.0,5.0,-5.0,-1.0,1.0,2.0
2,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-17,-1.0,3.0,-4.0,6.0,15.0,-1.0
3,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-18,-3.0,1.0,-3.0,10.0,17.0,-1.0
4,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-19,-5.0,-5.0,-5.0,6.0,13.0,-2.0
5,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-20,-5.0,-4.0,-6.0,2.0,7.0,-1.0
6,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-21,-2.0,-1.0,-6.0,8.0,13.0,-1.0
7,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-22,-2.0,-2.0,-8.0,2.0,4.0,0.0
8,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-23,-7.0,-4.0,-11.0,-5.0,-2.0,2.0
9,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-24,-7.0,-4.0,-9.0,6.0,11.0,0.0
10,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-25,-8.0,-5.0,-9.0,8.0,13.0,0.0
11,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-26,-6.0,-5.0,-5.0,7.0,13.0,-2.0
12,CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2020-02-27,-5.0,-2.0,-6.0,4.0,13.0,-2.0
