,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
321,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-15,-9.0,-13.0,-10.0,,10.0,
322,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-16,-13.0,,-8.0,,,
323,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-17,-15.0,-14.0,-14.0,,11.0,
324,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-18,-15.0,-24.0,-16.0,,10.0,
325,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-19,-13.0,-24.0,-10.0,,8.0,
326,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-20,-7.0,-10.0,-1.0,,6.0,
327,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-21,0.0,-15.0,-11.0,,12.0,
328,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-22,5.0,-6.0,-13.0,,16.0,
329,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-23,-12.0,,-12.0,,,
330,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-24,-4.0,-14.0,-7.0,,9.0,
331,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-25,-4.0,-18.0,-20.0,,10.0,
332,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-26,0.0,-24.0,-16.0,,10.0,
333,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-27,-12.0,-25.0,-14.0,,8.0,
334,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-28,11.0,-2.0,-5.0,,19.0,
335,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-02-29,22.0,4.0,-3.0,,22.0,
336,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-01,12.0,,-13.0,,,
337,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-02,4.0,-4.0,-8.0,,19.0,
338,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-03,-2.0,-27.0,-23.0,,11.0,
339,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-04,15.0,-20.0,-8.0,,15.0,
340,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-05,14.0,-10.0,-1.0,,10.0,
341,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-06,13.0,-18.0,-12.0,,14.0,
342,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-07,22.0,-8.0,-7.0,,14.0,
343,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-08,21.0,,-11.0,,,
344,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-09,15.0,-14.0,-14.0,,20.0,
345,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-10,-20.0,-42.0,-32.0,,6.0,
346,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-11,-4.0,-30.0,-17.0,,13.0,
347,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-12,3.0,-29.0,-8.0,,11.0,
348,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-13,-5.0,-27.0,-17.0,,13.0,
349,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-14,3.0,-10.0,-12.0,,22.0,
350,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-15,6.0,,-4.0,,,
351,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-16,6.0,-14.0,-10.0,,7.0,
352,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-17,-2.0,-11.0,-23.0,,4.0,
353,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-18,0.0,-2.0,-13.0,,4.0,
354,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-19,-12.0,-12.0,-17.0,,0.0,
355,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-20,-11.0,-13.0,-26.0,,1.0,
356,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-21,-31.0,-8.0,-42.0,,-8.0,
357,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-22,-52.0,-20.0,-51.0,,,
358,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-23,-55.0,-34.0,-62.0,,-43.0,
359,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-24,-27.0,-18.0,-28.0,,-14.0,
360,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-25,-69.0,-65.0,-67.0,,-48.0,
361,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-26,-67.0,-55.0,-62.0,,-49.0,
362,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-27,-74.0,-58.0,-65.0,,-45.0,
363,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-28,-83.0,-50.0,-63.0,,-37.0,
364,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-29,-71.0,-44.0,-63.0,,,
365,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-30,-72.0,-48.0,-61.0,,-41.0,
366,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-03-31,-69.0,-49.0,-60.0,,-46.0,
367,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-01,-83.0,-48.0,-62.0,,-44.0,
368,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-02,-67.0,-39.0,-56.0,,-46.0,
369,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-03,-73.0,-45.0,-63.0,,-41.0,
370,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-04,-72.0,-46.0,-64.0,,-37.0,
371,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-05,-87.0,-46.0,-66.0,,,
372,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-06,,,-62.0,,-39.0,
373,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-07,,,-62.0,,-39.0,
374,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-08,,,-65.0,,-45.0,
375,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-09,,,-67.0,,-57.0,
376,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-10,,,-77.0,,-68.0,
377,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-11,,,-67.0,,-37.0,
378,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-12,,,-67.0,,,
379,CO,Colombia,Amazonas,,,CO-AMA,,ChIJuR67ovBG5JERmc75jvwzR3U,2020-04-13,,,-66.0,,-39.0,
